sector,segmento,balance.activo_no_corriente.huber_9y,balance.activo_no_corriente.n_años,balance.activo_no_corriente.dato_2024,balance.activo_corriente.huber_9y,balance.activo_corriente.n_años,balance.activo_corriente.dato_2024,balance.existencias_pct.huber_9y,balance.existencias_pct.n_años,balance.existencias_pct.dato_2024,balance.realizable_pct.huber_9y,balance.realizable_pct.n_años,balance.realizable_pct.dato_2024,balance.disponible_pct.huber_9y,balance.disponible_pct.n_años,balance.disponible_pct.dato_2024,balance.patrimonio_neto_pct.huber_9y,balance.patrimonio_neto_pct.n_años,balance.patrimonio_neto_pct.dato_2024,balance.pasivo_no_corriente_pct.huber_9y,balance.pasivo_no_corriente_pct.n_años,balance.pasivo_no_corriente_pct.dato_2024,balance.deudas_fin_largo_pct.huber_9y,balance.deudas_fin_largo_pct.n_años,balance.deudas_fin_largo_pct.dato_2024,balance.otras_deudas_largo_pct.huber_9y,balance.otras_deudas_largo_pct.n_años,balance.otras_deudas_largo_pct.dato_2024,balance.pasivo_corriente_pct.huber_9y,balance.pasivo_corriente_pct.n_años,balance.pasivo_corriente_pct.dato_2024,balance.acreedores_comerciales_pct.huber_9y,balance.acreedores_comerciales_pct.n_años,balance.acreedores_comerciales_pct.dato_2024,balance.deudas_fin_corto_pct.huber_9y,balance.deudas_fin_corto_pct.n_años,balance.deudas_fin_corto_pct.dato_2024,balance.otras_deudas_corto_pct.huber_9y,balance.otras_deudas_corto_pct.n_años,balance.otras_deudas_corto_pct.dato_2024,pyg.cifra_negocios_pct.huber_9y,pyg.cifra_negocios_pct.n_años,pyg.cifra_negocios_pct.dato_2024,pyg.otros_ingresos_explot_pct.huber_9y,pyg.otros_ingresos_explot_pct.n_años,pyg.otros_ingresos_explot_pct.dato_2024,pyg.ingresos_explotacion_pct.huber_9y,pyg.ingresos_explotacion_pct.n_años,pyg.ingresos_explotacion_pct.dato_2024,pyg.consumos_explotacion_pct.huber_9y,pyg.consumos_explotacion_pct.n_años,pyg.consumos_explotacion_pct.dato_2024,pyg.margen_bruto_pct.huber_9y,pyg.margen_bruto_pct.n_años,pyg.margen_bruto_pct.dato_2024,pyg.otros_gastos_explot_pct.huber_9y,pyg.otros_gastos_explot_pct.n_años,pyg.otros_gastos_explot_pct.dato_2024,pyg.valor_añadido_pct.huber_9y,pyg.valor_añadido_pct.n_años,pyg.valor_añadido_pct.dato_2024,pyg.gastos_personal_pct.huber_9y,pyg.gastos_personal_pct.n_años,pyg.gastos_personal_pct.dato_2024,pyg.amortizaciones_pct.huber_9y,pyg.amortizaciones_pct.n_años,pyg.amortizaciones_pct.dato_2024,pyg.resultado_extraordinario_pct.huber_9y,pyg.resultado_extraordinario_pct.n_años,pyg.resultado_extraordinario_pct.dato_2024,pyg.baii_pct.huber_9y,pyg.baii_pct.n_años,pyg.baii_pct.dato_2024,pyg.ingresos_financieros_pct.huber_9y,pyg.ingresos_financieros_pct.n_años,pyg.ingresos_financieros_pct.dato_2024,pyg.gastos_financieros_pct.huber_9y,pyg.gastos_financieros_pct.n_años,pyg.gastos_financieros_pct.dato_2024,pyg.bai_pct.huber_9y,pyg.bai_pct.n_años,pyg.bai_pct.dato_2024,pyg.impuesto_beneficios_pct.huber_9y,pyg.impuesto_beneficios_pct.n_años,pyg.impuesto_beneficios_pct.dato_2024,pyg.resultado_ejercicio_pct.huber_9y,pyg.resultado_ejercicio_pct.n_años,pyg.resultado_ejercicio_pct.dato_2024,ratios.liquidez.huber_9y,ratios.liquidez.n_años,ratios.liquidez.dato_2024,ratios.tesoreria.huber_9y,ratios.tesoreria.n_años,ratios.tesoreria.dato_2024,ratios.disponibilidad_ratio.huber_9y,ratios.disponibilidad_ratio.n_años,ratios.disponibilidad_ratio.dato_2024,ratios.fm_ventas.huber_9y,ratios.fm_ventas.n_años,ratios.fm_ventas.dato_2024,ratios.fm_activo.huber_9y,ratios.fm_activo.n_años,ratios.fm_activo.dato_2024,ratios.endeudamiento.huber_9y,ratios.endeudamiento.n_años,ratios.endeudamiento.dato_2024,ratios.calidad_deuda.huber_9y,ratios.calidad_deuda.n_años,ratios.calidad_deuda.dato_2024,ratios.capacidad_devolucion.huber_9y,ratios.capacidad_devolucion.n_años,ratios.capacidad_devolucion.dato_2024,ratios.cobertura_gastos_fin.huber_9y,ratios.cobertura_gastos_fin.n_años,ratios.cobertura_gastos_fin.dato_2024,ratios.coste_deuda.huber_9y,ratios.coste_deuda.n_años,ratios.coste_deuda.dato_2024,ratios.rotacion_activo.huber_9y,ratios.rotacion_activo.n_años,ratios.rotacion_activo.dato_2024,ratios.rotacion_activo_no_corriente.huber_9y,ratios.rotacion_activo_no_corriente.n_años,ratios.rotacion_activo_no_corriente.dato_2024,ratios.rotacion_activo_corriente.huber_9y,ratios.rotacion_activo_corriente.n_años,ratios.rotacion_activo_corriente.dato_2024,ratios.rotacion_existencias.huber_9y,ratios.rotacion_existencias.n_años,ratios.rotacion_existencias.dato_2024,ratios.plazo_existencias.huber_9y,ratios.plazo_existencias.n_años,ratios.plazo_existencias.dato_2024,ratios.cobro_dias.huber_9y,ratios.cobro_dias.n_años,ratios.cobro_dias.dato_2024,ratios.pago_dias.huber_9y,ratios.pago_dias.n_años,ratios.pago_dias.dato_2024,ratios.financiacion_clientes.huber_9y,ratios.financiacion_clientes.n_años,ratios.financiacion_clientes.dato_2024,ratios.roi.huber_9y,ratios.roi.n_años,ratios.roi.dato_2024,ratios.roe.huber_9y,ratios.roe.n_años,ratios.roe.dato_2024,ratios.flujo_caja_activo.huber_9y,ratios.flujo_caja_activo.n_años,ratios.flujo_caja_activo.dato_2024,ratios.flujo_caja_ventas.huber_9y,ratios.flujo_caja_ventas.n_años,ratios.flujo_caja_ventas.dato_2024,ratios.ventas_empleado.huber_9y,ratios.ventas_empleado.n_años,ratios.ventas_empleado.dato_2024,ratios.beneficio_empleado.huber_9y,ratios.beneficio_empleado.n_años,ratios.beneficio_empleado.dato_2024,ratios.gastos_personal_empleado.huber_9y,ratios.gastos_personal_empleado.n_años,ratios.gastos_personal_empleado.dato_2024
Productos básicos hierro/acero (24.1),grandes_medianas,51.3244,9,47.18,48.6756,9,52.82,24.92,9,31.67,15.031,9,16.72,8.0533,9,4.43,41.4179,9,43.82,23.6767,9,16.5,8.4818,9,1.16,15.7229,9,15.34,35.04,9,39.68,10.9167,9,12.39,4.3932,9,1.1,20.0756,9,26.19,96.4072,9,94.42,3.5928,9,5.58,100.0,9,100.0,62.308,9,64.06,37.692,9,35.94,21.9945,9,23.49,15.7772,9,12.44,9.5026,9,9.1,2.21,9,2.38,0.0,9,0.0,4.1975,9,0.96,0.9265,9,1.75,1.4234,9,1.52,3.7562,9,1.2,0.4939,9,0.25,3.2077,9,0.95,1.4086,9,1.33,0.6799,9,0.53,0.2437,9,0.11,0.12,9,0.1,0.1414,9,0.13,0.5828,9,0.56,0.6011,9,0.71,0.4338,9,2.03,3.1477,9,0.64,0.1315,9,0.92,1.0836,9,1.38,1.9913,9,2.91,2.2514,9,2.6,2.7589,9,2.78,132.7183,9,131.23,51.3867,9,44.37,60.2544,9,51.32,0.7225,9,0.74,0.05,9,0.01,0.0822,9,0.03,0.06,9,0.05,0.052,9,0.03,651.0629,9,744.49,22.0911,9,7.08,61.1711,9,67.75
Productos básicos hierro/acero (24.1),pequeñas,42.5725,9,42.34,57.4275,9,57.66,10.7983,9,10.5,22.0663,9,21.03,23.2929,9,26.13,49.0357,9,48.03,20.3941,9,26.07,8.7357,9,7.16,10.4201,9,18.91,29.9007,9,25.9,9.0778,9,8.15,4.9967,9,5.26,15.0953,9,12.5,99.0819,9,99.19,0.9181,9,0.81,100.0,9,100.0,46.3772,9,43.22,53.6228,9,56.78,12.2743,9,13.31,41.3412,9,43.47,33.5669,9,33.58,3.2199,9,3.42,0.0,9,0.0,5.5423,9,6.46,0.8171,9,1.21,1.1556,9,1.4,5.1696,9,6.26,0.8216,9,1.5,4.5773,9,4.76,1.8543,9,2.23,1.4359,9,1.82,0.8178,9,1.01,0.3487,9,0.41,0.2556,9,0.32,0.5117,9,0.52,0.5961,9,0.5,0.4384,9,0.51,4.3089,9,4.6,0.07,9,0.09,0.7942,9,0.77,1.7676,9,1.82,1.3874,9,1.33,3.1799,9,3.16,114.7207,9,115.4,100.4299,9,99.84,93.462,9,89.48,0.4357,9,0.39,0.04,9,0.05,0.075,9,0.08,0.0589,9,0.06,0.0767,9,0.08,115.3547,9,128.8,5.455,9,6.13,37.8989,9,43.26
Fabricación de vehículos de motor (29),grandes_medianas,51.9821,9,43.28,48.0179,9,56.72,10.7749,9,16.6,20.0041,9,16.83,16.0519,9,23.28,36.3193,9,58.15,11.2116,9,14.15,1.839,9,5.62,8.88,9,8.53,52.5841,9,27.7,19.7286,9,8.5,1.7271,9,6.0,31.2896,9,13.19,98.1743,9,97.38,1.8257,9,2.62,100.0,9,100.0,76.2644,9,50.62,23.7356,9,49.38,8.7423,9,12.49,15.3356,9,36.88,10.2264,9,29.84,3.168,9,2.75,0.0,9,0.0,3.0372,9,4.29,0.5166,9,1.02,0.5957,9,1.24,3.3254,9,4.07,0.66,9,0.95,2.6025,9,3.13,0.8681,9,2.05,0.6931,9,1.45,0.3098,9,0.84,-0.04,9,0.36,-0.0651,9,0.29,0.636,9,0.42,0.83,9,0.66,2.7956,9,0.41,5.3272,9,3.45,0.1771,9,0.09,1.5543,9,0.8,2.8744,9,1.86,3.8413,9,1.42,11.8698,9,2.45,30.1799,9,148.88,44.577,9,76.4,62.2621,9,76.25,0.9885,9,0.51,0.0443,9,0.03,0.1013,9,0.04,0.0963,9,0.05,0.06,9,0.06,477.3066,9,127.84,10.0214,9,4.0,44.8504,9,38.14
Fabricación de vehículos de motor (29),pequeñas,45.2333,9,41.88,54.7667,9,58.12,15.9043,9,18.07,17.9429,9,17.9,20.8193,9,22.15,52.92,9,60.75,14.1089,9,9.84,9.181,9,5.62,4.3609,9,4.23,31.1061,9,29.41,10.0944,9,9.19,6.0489,9,6.68,15.312,9,13.53,98.4633,9,97.79,1.5367,9,2.21,100.0,9,100.0,49.8796,9,51.0,50.1204,9,49.0,11.67,9,11.98,39.1767,9,37.02,28.082,9,28.1,2.8931,9,2.73,0.0,9,0.0,7.8139,9,6.19,0.3712,9,1.05,1.0311,9,1.03,7.2034,9,6.21,0.9222,9,1.45,6.2762,9,4.76,1.7033,9,1.98,1.2049,9,1.36,0.6567,9,0.75,0.2578,9,0.32,0.2178,9,0.29,0.47,9,0.39,0.705,9,0.75,0.4987,9,0.54,8.3626,9,6.0,0.0625,9,0.07,0.8433,9,0.89,1.8673,9,2.12,1.5476,9,1.53,2.6222,9,2.51,139.7867,9,145.71,77.4586,9,73.59,88.4137,9,74.1,0.5678,9,0.51,0.0662,9,0.05,0.1,9,0.07,0.077,9,0.066,0.0942,9,0.075,117.8015,9,134.72,7.6105,9,6.41,33.7925,9,37.86
Carne y prod. cárnicos (10.1),grandes_medianas,44.9842,9,42.45,55.0158,9,57.55,24.3191,9,26.13,20.2794,9,19.6,10.7209,9,11.82,39.1457,9,39.28,18.8349,9,18.55,9.5092,9,8.67,9.3371,9,9.88,42.1322,9,42.17,16.4707,9,16.19,8.6095,9,7.03,17.0422,9,18.95,99.5011,9,99.55,0.4989,9,0.45,100.0,9,100.0,75.0178,9,76.56,24.9822,9,23.44,10.9283,9,10.14,14.0588,9,13.31,8.2909,9,8.24,2.0478,9,1.83,0.0,9,0.0,3.7253,9,3.23,0.2142,9,0.26,0.6914,9,1.41,3.149,9,2.09,0.6746,9,0.5,2.639,9,1.59,1.3056,9,1.36,0.736,9,0.75,0.2567,9,0.28,0.08,9,0.1,0.13,9,0.15,0.61,9,0.61,0.69,9,0.69,0.3601,9,0.35,5.29,9,2.29,0.0543,9,0.14,1.41,9,1.6,3.1454,9,3.77,2.5899,9,2.78,4.4911,9,4.69,81.7622,9,77.87,51.85,9,44.72,56.11,9,48.26,0.8122,9,0.83,0.05,9,0.05,0.0867,9,0.06,0.0614,9,0.05,0.05,9,0.03,421.6978,9,473.58,9.8744,9,7.51,34.6644,9,39.04
Carne y prod. cárnicos (10.1),pequeñas,36.8322,9,39.37,63.1678,9,60.63,28.3493,9,27.12,20.2211,9,19.92,14.5133,9,13.6,54.2743,9,56.72,17.0286,9,14.89,11.4243,9,7.77,5.6349,9,7.13,28.7143,9,28.39,12.3957,9,11.95,6.5334,9,6.3,9.6753,9,10.14,99.2137,9,99.14,0.7863,9,0.86,100.0,9,100.0,64.6155,9,64.04,35.3845,9,35.96,11.6411,9,12.09,23.832,9,23.86,16.8482,9,16.93,2.6311,9,2.41,0.0,9,-0.24,4.2904,9,4.28,0.1571,9,1.23,0.7527,9,1.13,3.7642,9,4.38,0.8978,9,0.87,2.9186,9,3.5,2.146,9,2.14,1.1971,9,1.18,0.4928,9,0.48,0.3657,9,0.34,0.3366,9,0.32,0.4571,9,0.43,0.6288,9,0.66,0.2857,9,0.4,5.6456,9,3.79,0.0412,9,0.08,0.93,9,0.94,2.4999,9,2.39,1.4786,9,1.55,2.1226,9,2.22,172.6851,9,164.4,79.9389,9,77.32,75.6033,9,72.43,0.61,9,0.6,0.04,9,0.04,0.05,9,0.06,0.0511,9,0.06,0.0533,9,0.06,168.5179,9,191.44,4.8571,9,6.71,28.3438,9,32.42
Productos químicos básicos (20.1),grandes_medianas,50.8966,9,47.3,49.1034,9,52.7,12.7143,9,14.07,19.5797,9,18.54,16.6017,9,20.09,52.1478,9,48.46,13.61,9,15.55,2.9078,9,2.98,10.7692,9,12.57,33.6219,9,35.99,7.4946,9,6.29,3.6808,9,3.65,22.2474,9,26.05,98.3033,9,98.43,1.6967,9,1.57,100.0,9,100.0,65.4757,9,66.0,34.5243,9,34.0,18.4943,9,19.16,16.0271,9,14.84,6.97,9,7.64,2.8516,9,2.74,0.0,9,0.0,5.8325,9,4.46,1.0468,9,0.99,0.7528,9,1.44,6.1206,9,4.02,1.3009,9,0.78,4.8814,9,3.23,1.4483,9,1.46,1.082,9,1.07,0.4925,9,0.56,0.1243,9,0.14,0.1557,9,0.17,0.48,9,0.52,0.7138,9,0.7,1.4823,9,1.04,7.2734,9,3.1,0.1366,9,0.25,1.2271,9,1.15,2.416,9,2.44,2.5167,9,2.19,6.3922,9,5.41,57.9689,9,67.49,59.2915,9,58.68,33.9909,9,30.17,0.37,9,0.34,0.0744,9,0.05,0.12,9,0.08,0.0957,9,0.07,0.075,9,0.06,920.5371,9,898.72,45.8484,9,29.05,63.6025,9,68.68
Productos químicos básicos (20.1),pequeñas,45.3467,9,49.95,54.6533,9,50.05,11.3833,9,9.36,21.77,9,17.39,21.4989,9,23.3,51.816,9,53.82,18.8211,9,18.89,11.3773,9,9.91,7.2633,9,8.98,29.4711,9,27.29,10.0381,9,8.7,6.4144,9,5.76,13.0031,9,12.84,98.604,9,97.87,1.396,9,2.13,100.0,9,100.0,50.4914,9,50.33,49.5086,9,49.67,19.9133,9,19.36,29.5343,9,30.3,19.8725,9,20.72,3.8467,9,4.62,0.0,9,0.0,6.0856,9,4.96,0.9522,9,1.4,1.0655,9,2.21,5.7929,9,4.15,1.1911,9,1.37,4.5605,9,2.77,1.8328,9,1.83,1.442,9,1.49,0.7312,9,0.85,0.3243,9,0.34,0.2572,9,0.23,0.48,9,0.46,0.61,9,0.59,0.376,9,0.31,6.279,9,2.24,0.04,9,0.09,0.7689,9,0.66,1.7211,9,1.33,1.4056,9,1.33,3.4518,9,3.57,105.9628,9,102.28,103.3533,9,95.63,95.0157,9,95.03,0.4625,9,0.5,0.05,9,0.03,0.0714,9,0.03,0.07,9,0.05,0.0825,9,0.07,188.6972,9,204.47,8.5911,9,5.67,36.6705,9,42.36
Fabricación de maquinaria y equipo (28),grandes_medianas,34.7244,9,31.8,65.2756,9,68.2,19.6853,9,21.27,26.5722,9,23.08,18.9406,9,23.86,47.7811,9,55.56,11.7568,9,10.6,5.8433,9,6.07,5.9474,9,4.53,40.3578,9,33.83,12.7816,9,10.86,4.7441,9,6.5,23.5577,9,16.48,98.5163,9,98.19,1.4837,9,1.81,100.0,9,100.0,57.036,9,50.39,42.964,9,49.61,11.4829,9,10.98,31.7443,9,38.62,21.7809,9,27.89,2.3562,9,2.45,-0.0011,9,0.0,7.3351,9,8.29,0.9427,9,0.58,0.9466,9,0.95,7.0782,9,7.92,1.3601,9,1.55,5.6832,9,6.37,1.5358,9,2.02,1.16,9,1.39,0.4459,9,0.71,0.226,9,0.36,0.216,9,0.34,0.5211,9,0.44,0.7713,9,0.76,0.7686,9,0.67,7.984,9,8.75,0.0911,9,0.07,0.9867,9,0.96,2.8664,9,3.02,1.5122,9,1.41,2.9456,9,2.28,127.8033,9,160.14,97.49,9,87.57,82.7657,9,81.77,0.4817,9,0.47,0.0713,9,0.08,0.1156,9,0.11,0.0778,9,0.08,0.0813,9,0.09,221.4214,9,173.96,12.3122,9,11.08,48.6487,9,48.51
Fabricación de maquinaria y equipo (28),pequeñas,31.1422,9,30.59,68.8578,9,69.41,19.8986,9,21.37,25.0822,9,23.38,23.7378,9,24.66,53.2656,9,55.55,12.55,9,10.84,7.8045,9,5.95,4.7697,9,4.89,33.8806,9,33.61,12.6422,9,11.15,6.4548,9,6.05,14.0529,9,16.41,98.8647,9,98.13,1.1353,9,1.87,100.0,9,100.0,51.3207,9,50.47,48.6793,9,49.53,11.3219,9,10.98,37.243,9,38.55,27.634,9,28.14,2.4971,9,2.48,0.0,9,0.0,7.0814,9,7.94,0.2712,9,0.58,0.7899,9,0.92,6.56,9,7.6,1.3738,9,1.52,5.1843,9,6.08,2.0499,9,2.07,1.4317,9,1.43,0.7025,9,0.73,0.3587,9,0.36,0.3533,9,0.36,0.4663,9,0.44,0.7317,9,0.76,0.5217,9,0.7,8.9724,9,8.65,0.0537,9,0.08,0.9783,9,0.98,3.1378,9,3.21,1.42,9,1.41,2.5156,9,2.32,145.7089,9,157.55,93.91,9,86.97,91.8731,9,82.19,0.5057,9,0.48,0.07,9,0.08,0.0956,9,0.11,0.08,9,0.08,0.0767,9,0.09,149.4929,9,171.55,7.7994,9,10.43,41.3914,9,48.28
